id,x,y
192,0.025113136,0.006010779
193,0.005461826,0.005145944
194,0.006250221,0.005280138
195,0.007122547,0.005041465
196,0.007983646,0.005029362
197,0.008744124,0.005046983
198,0.009706034,0.005140136
199,0.010572429,0.005159297
200,0.011402472,0.00508716
201,0.012084842,0.005072631
202,0.013057785,0.005072547
203,0.013815483,0.005063805
204,0.014733632,0.005105477
205,0.015559279,0.005316319
206,0.016479129,0.00510465
207,0.017345704,0.005198857
208,0.018331256,0.005190399
209,0.019091444,0.005173065
210,0.019930918,0.005124909
211,0.020907585,0.005306824
212,0.021788167,0.005168817
213,0.022607191,0.005139556
214,0.023494594,0.005173089
215,0.000957737,0.00409125
216,0.001871978,0.004100863
217,0.002839791,0.004207547
218,0.003631735,0.004099362
219,0.004368525,0.00423475
220,0.00515198,0.004301583
221,0.006000928,0.004322648
222,0.007189571,0.004107388
223,0.008033684,0.00407521
224,0.008780846,0.004064567
225,0.009534062,0.00414981
226,0.010453899,0.004242233
227,0.011441408,0.004375158
228,0.011973441,0.004256334
229,0.012911887,0.004395047
230,0.013941598,0.004265191
231,0.01489158,0.00439486
232,0.015614673,0.0043391
233,0.01662772,0.004319794
234,0.017362265,0.004251926
235,0.018265972,0.004252648
236,0.019123735,0.004270418
237,0.019935437,0.004304265
238,0.020793112,0.004243083
239,0.021715717,0.004217344
240,0.002549025,0.003574123
241,0.003383182,0.003558968
242,0.004464899,0.003499296
243,0.005239256,0.003392772
244,0.005798215,0.003492748
245,0.006979571,0.003444214
246,0.007793969,0.003346147
247,0.008863924,0.003273792
248,0.009486123,0.003357838
249,0.010515252,0.003588306
250,0.011371687,0.003590259
251,0.013034864,0.003655882
252,0.013965865,0.003627193
253,0.014668131,0.003473031
254,0.015640525,0.003459292
255,0.01666156,0.003482216
256,0.017423755,0.00345247
257,0.018161921,0.003437326
258,0.019060114,0.003499262
259,0.000921752,0.002572213
260,0.001829011,0.002581714
261,0.002632705,0.002534057
262,0.003419579,0.002663411
263,0.004079138,0.002754113
264,0.004995217,0.002416
265,0.006313825,0.002563021
266,0.006734154,0.002872034
267,0.007733179,0.002576123
268,0.008639154,0.002646623
269,0.009548798,0.002732769
270,0.010396628,0.002695979
271,0.011274239,0.002763521
272,0.012058558,0.002747094
273,0.013081269,0.002594881
274,0.013882719,0.002648554
275,0.01462949,0.002762793
276,0.015507125,0.002499137
277,0.01656023,0.002558762
278,0.000873704,0.001596373
279,0.001732271,0.001673307
280,0.002794319,0.001706703
281,0.003291683,0.001806811
282,0.004363011,0.001441773
283,0.005071959,0.00165369
284,0.006126958,0.001837188
